Shrines,zeldadungeon_links,Coordinators,youtube_link,walkthrough,Location,Enemies,Items,Materials,Prerequisite,Rewards,Type,Skills,Inhabitants,Related,Depths Counterpart,Coordinates_y,Quests
Karahatag Shrine,https://www.zeldadungeon.net/wiki/Karahatag_Shrine,"-3726, -3625, 0043",https://www.youtube.com/watch?v=tzWVyB396yk,"Karahatag Shrine, also known as Drifting Flame, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Gerudo Desert in the Southern Oasis. Contents Drifting Flame As you enter the first room, you'll see a closed gate with an unlit upside-down ancient torch suspended to the left of it, and a lit ancient torch with a normal Torch on the ground to the right of it. Ignoring the torch on the ground, pull out your bow and walk over to the lit torch so that it lights your arrow on fire, and then shoot it at the upside torch to light it, opening the gate. You can also just fuse a Fire Fruit or Red Chuchu Jelly to your arrow and shoot the upside-down torch to light it that way. Climb the ladder, and you'll see a button on the floor with a fence on three sides of it, a large open platform behind it with three columns suspended over it, and a walkway to it's right that leads to the final closed gate. There is also a lit ancient torch that you can pick up with Ultrahand on that walkway. Standing on the button causes the open platform to drop down a good ways (roughly 20ft/6m), but also causes upside-down ancient torches to come down out of the bottom of the three suspended columns. You need to light the torches to open the final gate. Option 1:
Pick up the lit ancient torch off of the walkway, run onto the platform and directly through the center of each square of sand underneath the three columns, and then quickly run back to the button and put down the torch. Once you step on the button, quickly use Recall on the lit ancient torch. If done correctly, the torch should move back to each column, lighting the upside-down torches and opening the gate. If trying to get all three lit in one shot is too difficult, it is possible to do the torches one at a time, as once an upside-down torch is lit, it will stay lit, even when it is no longer exposed. Option 2:
Grab the lit ancient torch with Ultrahand, and bring the torch over to the button. Now, while standing on the button, pull the torch right next to you so that it's on top of the pressed button as well, and hold it there for roughly 20 seconds. Now release the torch and step off of the button. Now use Recall on the torch, and it should activate the button, dropping the platform and torches down. Now just use arrows fused with Fire Fruit or Red Chuchu Jelly to light the torches before Recall runs out. The lone chest of this shrine (which contains a Construct Bow whose level depends on your world level) is in an alcove directly underneath the button in the second room. You can access this chest directly if you use Option 2 above (drop down to the platform after it drops), or you can jump off of the walkway next to the final gate and paraglide under the open platform and into the alcove. Use Ascend to get back up once you're done. Video Walkthrough Gallery",,,"Construct Bow, level varies",,,Light of Blessing,Shrine of Light,,,,Gataharak Lightroot,,
Kitawak Shrine,https://www.zeldadungeon.net/wiki/Kitawak_Shrine,"-1532, -2928, 0321",https://www.youtube.com/watch?v=6QAIIFz4hyI,"Kitawak Shrine, also known as Upward and Forward, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the East Gerudo Mesa east of the Gerudo Desert. Upward and Forward Video Walkthrough Gallery Attach the first platform to the edge of the existing one This will create a larger bridge that Link can walk across Connect a platform to the moving gear Ride across to reach a chest that contains ten Arrows Attach a platform to front of the seesaw so it drops down Move the other platform to create a bridge that Link can climb up Attach a platform to the very edge of the existing one Stand at the edge and aim an arrow at the stone switch It will launch Link into the air and he can paraglide to the altar",,,Arrows,,,Light of Blessing,Shrine of Light,,,,Kawatik Lightroot,,
Kudanisar Shrine,https://www.zeldadungeon.net/wiki/Kudanisar_Shrine,"4168, -2144, 0050",https://www.youtube.com/watch?v=brVddDvSwJg,"Kudanisar Shrine, also known as Bridging the Sands, is a Shrine of Light found in Tears of the Kingdom. This Shrine is located in the Gerudo Desert, at the entrance to Karusa Valley. Bridging the Sands Video Walkthrough Gallery",,,Arrows Hasty Elixir,,,Light of Blessing,Shrine of Light,,,,Rasinaduk Lightroot,,
Mayamats Shrine,https://www.zeldadungeon.net/wiki/Mayamats_Shrine,"-4639,-1510, 0452",https://www.youtube.com/watch?v=nKkIzhP_KBA,"Mayamats Shrine, also known as A Route for a Ball, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Gerudo Highlands on Rutimala Hill. Contents A Route for a Ball Once inside of the shrine, move down the ramp and make a left, noticing the large ball receptacle and the closed gate to the altar as you do so. To your left will be a large pit, with a pair of rails on the right side, and a pair of angled fans pointing up to the ledge above. Paraglide up to the ledge using the fans. Once on the ledge, straight ahead there will be a small pit (with floor) with a treasure chest on a ledge past it, to your right will be a higher ledge with a funnel-shaped chimney built into the face of it, and to your left will be an alcove with another ledge above it, this one holding a large ball. Use Ascend in the alcove to get up to the ledge, then grab the ball using Ultrahand and bring it down to the floor. To get up to the higher ledge on the right, use Ultrahand to place the large ball into the funnel-shaped section of the chimney, then stand underneath it and use Ascend to get on top of the ball, and jump onto the ledge. Up here you'll see our receptacle ball stuck in an endless loop of rolling down chutes and falling into the abyss. Once the ball reaches the second chute, hit the ball with Recall, and once it is over the gap between the chutes, deactivate Recall, causing the ball to fall onto the rails underneath and then roll into the small pit in front of you. Grab the ball on drop it down to the floor in the center. Now the two rails that cross over the large pit are too far apart for the receptacle ball to ride on them, so you will need to use Ultrahand to fuse it to the larger ball. Now pick up your fused balls and set them on the rails as far down as you can reach, as there is a pit at the end of the rails/chute that the balls can fall into if they have too much momentum (i.e., placing them onto the rails at the top), which causes them to reset to the center floor. Once they are safely sitting on the lower floor, paraglide down to them, and place the smaller ball into the receptacle to open the gate to the altar. Shrine Treasure Chest To get to the chest, right after getting the large ball for the first time, use Ultrahand to place the large ball in the center of the pit, spaced just right so that you can jump from the floor you are on, onto the top of the ball, and then onto the ledge with the chest. The chest contains a Large Zonai Charge. Video Walkthrough Gallery Use the Paraglider along with the wind to reach the higher platform. To the ledge, there is a cubby hole Link can reach. Use Ascend to get up to the large ball. Grab the ball with Ultrahand and place it half way towards the treasure chest. Jump over to the chest to get a Large Zonai Charge. Place the large ball so it sites where the opening narrows. Stand underneath the ball and use Ascend. Link will pop up outside the ball at a higher elevation. Use Recall on the ball when it is on the second ramp. Cancel recall when it is right above the rails. The ball will fall straight down onto the rails and roll towards Link. Attach the Orb with the larger ball with Ultrahand and place the large ball on the rails. The ball rolls very quickly, but Link can use Recall on it to slow it down. Pull the orb off, or just put the combined piece into the hole to open the door, where Link can then reach the altar.",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Stamayam Lightroot,,
Mayatat Shrine,https://www.zeldadungeon.net/wiki/Mayatat_Shrine,"-3292, 2509, 0024",https://www.youtube.com/watch?v=wPP-_apV9GI,"Mayatat Shrine, also known as A Sliding Device, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Gerudo Desert, right next to Kara Kara Bazaar. A Sliding Device Video Walkthrough Gallery The outside of Mayatat Shrine Use Recall on the sled Ride it up to the higher platform Attaching a Steering Stick to the sled Then attach a Fan Ride the vehicle on the sand to the chest Ride the vehicle to the end of the shrine",,,Arrows,,,Light of Blessing,Shrine of Light,,,,Tatayam Lightroot,,
Miryotanog Shrine,https://www.zeldadungeon.net/wiki/Miryotanog_Shrine,"-4678, -3087, 0054",https://www.youtube.com/watch?v=zVLGfoCDVKY,"Miryotanog Shrine, also known as Proving Grounds: Lure, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Gerudo Desert west of Gerudo Town. Proving Grounds: Lure Video Walkthrough Gallery",,,Captain IV Blade,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Gonatoyrim Lightroot,,
Motsusis Shrine,https://www.zeldadungeon.net/wiki/Motsusis_Shrine,"-1794, -3486, 0045",https://www.youtube.com/watch?v=uwkP_4DhWLw,"Motsusis Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in South Lomei Labyrinth. Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Large Zonai Charge, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Sisustom Lightroot,,
Otutsum Shrine,https://www.zeldadungeon.net/wiki/Otutsum_Shrine,"-4468, -0670, -0509",https://www.youtube.com/watch?v=hWgmXyu-1y8,"Otutsum Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Gerudo Highlands. Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Topaz, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Topaz,,,Light of Blessing,Shrine of Light,,,,Mustuto Lightroot,,
Rakakudaj Shrine,https://www.zeldadungeon.net/wiki/Rakakudaj_Shrine,,https://www.youtube.com/watch?v=XI8nTlex4so,"Rakakudaj Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located northeast of Gerudo Canyon Stable. Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Mighty Zonaite Longsword, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Mighty Zonaite Longsword,,,Light of Blessing,Shrine of Light,,,,Jadukakar Lightroot,,
Rotsumamu Shrine,https://www.zeldadungeon.net/wiki/Rotsumamu_Shrine,"-3408, 1361, 0335",https://www.youtube.com/watch?v=Is36TdEGKuU,"Rotsumamu Shrine, also known as A Balanced Plan, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Gerudo Highlands east of the Yiga Clan Hideout. A Balanced Plan The intended route for this shrine is to balance the see-saws with weights. However, the path to the Light of Blessing can be reached using Recall instead. Using Link's weight or Ultrahand where necessary, start every seesaw in the position it needs to be for Link to make his way through. Hold it there for a few seconds, then tip it or let it fall in the opposite direction. Then use Recall to temporarily restore the path and move forward. Video Walkthrough Gallery",,,Large Zonaite,,,Light of Blessing,Shrine of Light,,,,Umamustor Lightroot,,
Siwakama Shrine,https://www.zeldadungeon.net/wiki/Siwakama_Shrine,"-2446, -3346, 0041",https://www.youtube.com/watch?v=-scP9w12aKo,"Siwakama Shrine, also known as Moving the Spheres, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Gerudo Desert north of the East Barrens. Moving the Spheres Video Walkthrough Gallery",,,Bomb Flower ×5,,,Light of Blessing,Shrine of Light,,,,Amakawis Lightroot,,
Soryotanog Shrine,https://www.zeldadungeon.net/wiki/Soryotanog_Shrine,"-3881, -2961, 0123",,"Soryotanog Shrine, also known as Buried Light, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Gerudo Town. The shrine is located at the peak of Gerudo Town and Link is able to reach it by climbing and using Ascend. Buried Light Video Walkthrough Gallery Link arriving at the Soryotanog Shrine Use Ultrahand to grab the Fan Activate the fan and clear the sand to reach the chest that holds a Small Key Bring the fan to the next room and clear the sand in the corner Place the fan on the ground and have it blow air upward Use the Paraglider to reach the higher ledge Use a fan weapon to blow fan off the great, reaching a chest that has 10 Arrows Use Ascend to get to the higher platform in the large room Use the Fan to clear off the sand on the ground This will cause a beam of light to appear in the shrine Position a mirror so it is reflecting light back to the previous room Hold up the mirror to bounce light towards the target, just above the door",,,Arrows,,,Light of Blessing,Shrine of Light,,,,Gonatoyros Lightroot,,
Suariwak Shrine,https://www.zeldadungeon.net/wiki/Suariwak_Shrine,"-2524, -1769, 0131",https://www.youtube.com/watch?v=b9vzf7sOq5Q,"Suariwak Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located northeast of Gerudo Canyon Stable. You will need the full Yiga Set and enter through the Yiga Blademaster Station. Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Big Battery, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Big Battery,,,Light of Blessing,Shrine of Light,,,,Kawiraus Lightroot,,
Turakamik Shrine,https://www.zeldadungeon.net/wiki/Turakamik_Shrine,"-2654,-2238, 0067",https://www.youtube.com/watch?v=Y1YrG-feau8,"Turakamik Shrine, also known as Hidden Metal, is a Shrine of Light from Tears of the Kingdom. The Shrine is located east of Gerudo Canyon Stable. Hidden Metal Video Walkthrough Gallery Use Ultrahand to grab the electrified ball Attach the two balls to get electricity to flow Use Recall on the gear and ride it upward Swing one of the balls and then use Ultrahand one the other to attach them Platforms from the wall will be activated Use Ascend to climb on up Use Recall on the gear to reach the chest with a Strong Zonaite Shield Wrap the ball around the pole Grab the bar that is in between the two small gears Place it on the two poles to get electricity to flow",,,Strong Zonaite Shield,,,Light of Blessing,Shrine of Light,,,,Kimakarut Lightroot,,
Turakawak Shrine,https://www.zeldadungeon.net/wiki/Turakawak_Shrine,"-3496, -0197, 0066",https://www.youtube.com/watch?v=KbUpj6Vm5dA,"Turakawak Shrine, also known as Stacking a Path, is a Shrine of Light from Tears of the Kingdom. The Shrine is located at Lake Illumeni south of Tanagar Canyon. Stacking a Path Video Walkthrough Gallery",,,Magic Rod,,,Light of Blessing,Shrine of Light,,,,Kawakarut Lightroot,,
Anedamimik Shrine,https://www.zeldadungeon.net/wiki/Anedamimik_Shrine,"4231, -2179, -0012",https://www.youtube.com/watch?v=J0U1K_RgkNQ,"Anedamimik Shrine, also known as A Retraced Path, is a Shrine of Light from Tears of the Kingdom. The Shrine is located east of Hateno Ancient Tech Lab, inside Deepback Bay Cave. Contents Requirements To unlock the shrine, you must drain the water surrounding it. Go down the side of the cliff beside the shrine, where you will find a Like Like and a protrusion of stone. In the ceiling above the protrusion, there are breakable rocks. Destroy the rocks to drain the water. A Retraced Path Video Walkthrough Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Kimimadena Lightroot,,
Eshos Shrine,https://www.zeldadungeon.net/wiki/Eshos_Shrine,"1564, -1945, 0157",https://www.youtube.com/watch?v=MARP9Ji0vhk,"Eshos Shrine, also known as Combat Training: Shields, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just west of Dueling Peaks Stable. Combat Training: Shields Video Walkthrough Gallery",,,Mighty Zonaite Shield,,,Light of Blessing,Shrine of Light,,,,Sohse Lightroot,,
Jiukoum Shrine,https://www.zeldadungeon.net/wiki/Jiukoum_Shrine,"0867, -2279, 0141",https://www.youtube.com/watch?v=vlMdczazn6w,"Jiukoum Shrine, also known as Built for Rails, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just southeast of Popla Foothills Skyview Tower. Built For Rails Video Walkthrough Gallery",,,Sticky Elixir,,,Light of Blessing,Shrine of Light,,,,Muokuij Lightroot,,
Jochisiu Shrine,https://www.zeldadungeon.net/wiki/Jochisiu_Shrine,"0932, -1902, 0030",https://www.youtube.com/watch?v=Ae4s_RS03LY,"Jochisiu Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located northeast of Popla Foothills Skyview Tower. Shrine Quest: Keys Born of Water Interact with the Steward Construct just west of Dueling Peaks and just south of the road by Squabble River to start this quest. You will need to make ice blocks on the water nearby using Ice Fruit or another freezing item, and also start a fire. (The Steward Construct is located at coordinates 0944, -1906, 0017 in the opening facing the river.) Make and grab an ice block and bring it back toward the Steward Construct. Orient it to a diamond shape and place it in the leftmost hole. Return to the water and make another ice block; melt it slightly in the fire so it will fit in the middle hole. Return and make a third ice block, again melting it slightly in the fire to fit in the rightmost hole. There is some leeway on size when melting, so don't worry too much and just try and get it to generally fit in the space. Placing all three ice blocks will complete the quest and spawn the shrine. Rauru's Blessing The shrine itself is just a blessing shrine. Simply move forward, open the chest containing a Big Battery, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Big Battery,,,Light of Blessing,Shrine of Light,,,,Uisihcoj Lightroot,,
Makasura Shrine,https://www.zeldadungeon.net/wiki/Makasura_Shrine,"1700, -1051, 0166",https://www.youtube.com/watch?v=ksctZN_mdK4,"Makasura Shrine, also known as An Upright Device, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just south of Kakariko Village. An Upright Device Video Walkthrough Gallery Link arriving at the Makasura Shrine Use Ascend to climb up Hit the Stabilizer to make the platform stand upright Climb up and Paraglide across the gap Use Ultrahand to move the platform closer to the gate Hit the stabilizer and climb up Jump to the gate and over to the other side Attach the stabilizer to the platform Turn it around so the stabilizer is closer to the wall Stand in the bowl and shoot the stabilize with an arrow, launching Link up to the upper ledge Open the treasure chest here to get a Fairy Tonic Place the Orb in the bowl and hit the stabilizer to launch it over the gate and into the hole Use the bowl and stabilizer again to launch Link across Attach the platform with a Bowl to the platform with the stabilizer already attached to it Angle it towards the end of the shrine and shoot it with an arrow With both platforms attached, it will give enough power to shoot Link across the gap to reach the altar",,,Fairy Tonic,,,Light of Blessing,Shrine of Light,,,,Arusakam Lightroot,,
Marari-in Shrine,https://www.zeldadungeon.net/wiki/Marari-in_Shrine,"4630, -3712, 0018",https://www.youtube.com/watch?v=qIbjg1VAuxw,"Marari-in Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in Eventide Island. Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Ruby, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Ruby,,,Light of Blessing,Shrine of Light,,,,Ni-iraram Lightroot,,
Mayahisik Shrine,https://www.zeldadungeon.net/wiki/Mayahisik_Shrine,"3730, -2057, 0189",,"Mayahisik Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Retsam Forest Cave, just northwest of Hateno Ancient Tech Lab. As part of the Hateno Village Research Lab quest, Link will gain the Sensor ability from Robbie. Using this sensor ability, he'll find the Retsam Forest Cave and will need to find the shrine to continue the quest. Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Magic Scepter, and then examine the altar for your well-earned Light of Blessing. Gallery",Retsam Forest Cave,,Magic Scepter,,,Light of Blessing,Shrine of Light,,,,Kisihayam Lightroot,,
Susub Shrine,https://www.zeldadungeon.net/wiki/Susub_Shrine,"0347, -2050, -0026",https://www.youtube.com/watch?v=eJVWAjodiC0,"Susub Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located west of Popla Foothills Skyview Tower beneath the Deya Village Ruins, you can find the entrance from any of the Village Ruins Well entrances. Beware, of the Stone Talus on the islet beneath the shrine. Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Magic Staff, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Magic Staff,,,Light of Blessing,Shrine of Light,,,,Busus Lightroot,,
Tokiy Shrine,https://www.zeldadungeon.net/wiki/Tokiy_Shrine,"2304, -2377, -0028",https://www.youtube.com/watch?v=lhI7T_PJWus,"Tokiy Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in East Necluda, inside Oakle's Navel Cave found at Oakle's Navel. Cave coordinates:
+2505
-2103
+0009 The Oakle's Navel Cave Crystal Within the Oakle's Navel Cave, Link will encounter a green crystal. Examining the crystal will begin The Oakle's Navel Cave Crystal shrine quest. This requires Link to carry the crystal through the cave, reaching the shrine. Along the way, Link can use Ultrahand or Recall on falling boulders, preventing them from running into Link. Inside the shrine, there is a ginsle chest with a Large Zonai Charge. Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,,Yikot Lightroot,,
Zanmik Shrine,https://www.zeldadungeon.net/wiki/Zanmik_Shrine,"3469, -2180, 0148",https://www.youtube.com/watch?v=lSvql_mqRlU,"Zanmik Shrine, also known as Scoop It Out, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in East Necluda right at Hateno Village. Scoop It Out Video Walkthrough Gallery Place the block at the edge of the yellow line This will pass electricity to the wheel Attach an Orb with Ultrahand The wheel will move the Orb around The orb will appear at the top of the room You can create a box using the four small boxes Attach it to the large wheel It will push the orbs out of the way Buried in there is a Treasure Chest Open it to get a Strong Zonaite Longsword",Hateno Village,,"Zonaite Longsword, Strong Zonaite Longsword or Mighty Zonaite Longsword",,,Light of Blessing,Shrine of Light,,,,Kimnaz Lightroot,,
Bamitok Shrine,https://www.zeldadungeon.net/wiki/Bamitok_Shrine,"3095, -3210, 0082",https://www.youtube.com/watch?v=xnxrRjLyxwg,"Bamitok Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located north of Lurelin Village. Requirements Starting on the cliff above Gama Cove, swim north across the lake into Mount Dunsel Cave. Cut down the vines at the end of the tunnel. Take a left in the next room, which contains 2 Horriblins, and cut down the vines there. Run down the hill and hug the right side of the room to more easily avoid the 2 electric Like Likes hanging from the ceiling. Continue past them and hang a left down the tunnel. There will be a large gap you need to glide across, and directly across from where you started you will need to climb a slippery wall into another tunnel, which contains a 2 more Like Likes and the shrine at the very end. Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Big Battery, and then examine the altar for your well-earned Light of Blessing.",Mount Dunsel Cave,,Big Battery,,,Light of Blessing,Shrine of Light,,,,Kotimab Lightroot,,
Ishokin Shrine,https://www.zeldadungeon.net/wiki/Ishokin_Shrine,"-565, -3524, 0129",,"Ishokin Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located in the Faron Grasslands. Shrine Quest: Ride The Giant Horse Interact with the shrine to cause a beam of light to appear, leading towards the crystal you need to find. Speak with the man beside the crystal to start this quest. He wants you to catch an enormous horse, which can be found just across Horse God Bridge in the Ibara Butte, far to the east of the shrine. Teleport to Utsushok Shrine and walk south to the area. There you will find a huge white horse with an orange/yellow mane and tail. Approach it slowly and climb on. You will need an enormous amount of stamina to soothe the horse, so either come prepared with food or lots of stamina wheels. Ride the horse back to the man and show it to him. You may register the horse at any stable along the way, as he will not take it from you. After you've shown the horse, take the crystal and bring it back to the shrine to complete the quest. Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Topaz, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Topaz,,,Light of Blessing,Shrine of Light,,,,Nikohsi Lightroot,,
Joju-u-u Shrine,https://www.zeldadungeon.net/wiki/Joju-u-u_Shrine,"1516, -3576, 0142",https://www.youtube.com/watch?v=CpDMouuK1Xo,"Joju-u-u Shrine, also known as Building Bridges, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just southwest of Lakeside Stable up on Ubota Point. Building Bridges Video Walkthrough Gallery",,,Large Zonaite,,,Light of Blessing,Shrine of Light,,,,U-u-ujoj Lightroot,,
Sifumim Shrine,https://www.zeldadungeon.net/wiki/Sifumim_Shrine,"2824, -3267, 0078",https://www.youtube.com/watch?v=XtMsv3mGgkE,"Sifumim Shrine, also known as Proving Grounds: Flow, is a Shrine of Light from Tears of the Kingdom. The Shrine is located northwest of Lurelin Village. Proving Grounds: Flow  Video Walkthrough Gallery",,,Captain III Reaper,,,Light of Blessing,Shrine of Light (Proving Grounds),,,,Mimufis Lightroot,,
Utojis Shrine,https://www.zeldadungeon.net/wiki/Utojis_Shrine,"1219, -2543, 0096",https://www.youtube.com/watch?v=vT5oImFvcnw,"Utojis Shrine, also known as Rauru's Blessing, is a Shrine of Light from Tears of the Kingdom. The Shrine is located southeast of Popla Foothills Skyview Tower. The Shrine is located inside Tobio's Hollow Cave. The shrine is revealed via the Shrine Quest Legend of the Soaring Spear, in which Link must stand on a pedestal that lights up while he is on it and throw a Zonaite Spear with a wing of some type fused to it, be it a monster part or the Wing Zonai Device, through the lit up circle on the other side of the room. A journal detailing the riddle and two Zonaite Spears can be found close by. Cave coordinates: 1166, -2440, 0169 Rauru's Blessing The shrine itself is simply a blessing shrine. Simply move forward, open the chest containing a Large Zonai Charge, and then examine the altar for your well-earned Light of Blessing. Gallery",,,Large Zonai Charge,,,Light of Blessing,Shrine of Light,,,Tobio's Hollow Cave,Sijotu Lightroot,,
Utsushok Shrine,https://www.zeldadungeon.net/wiki/Utsushok_Shrine,"0669, 03358, 0072",https://www.youtube.com/watch?v=acGhrXEGcUI,"Utsushok Shrine, also known as Long or Wide, is a Shrine of Light from Tears of the Kingdom. The Shrine is located just northeast of Highland Stable. Long or Wide Video Walkthrough Gallery",,,Sneaky Elixir,,,Light of Blessing,Shrine of Light,,,,Kohsustu Lightroot,,
